graph family: path
samples per experiment: 1000000
walk lazily: false
-------------------------------------------------
len =  21, t_par =     570.44, t_ser =     487.41, ratio = 0.854, v_0 = 9
len =  21, t_par =     531.41, t_ser =     450.83, ratio = 0.848, v_0 = 10
len =  21, t_par =     570.30, t_ser =     487.62, ratio = 0.855, v_0 = 11
-------------------------------------------------
len =  23, t_par =    1061.78, t_ser =     881.07, ratio = 0.830, v_0 = 0
len =  23, t_par =    1061.70, t_ser =     880.42, ratio = 0.829, v_0 = 1
len =  23, t_par =    1057.01, t_ser =     877.14, ratio = 0.830, v_0 = 2
len =  23, t_par =    1049.14, t_ser =     872.28, ratio = 0.831, v_0 = 3
len =  23, t_par =    1038.02, t_ser =     864.59, ratio = 0.833, v_0 = 4
len =  23, t_par =    1020.25, t_ser =     854.73, ratio = 0.838, v_0 = 5
len =  23, t_par =     992.17, t_ser =     839.88, ratio = 0.847, v_0 = 6
len =  23, t_par =     951.06, t_ser =     812.92, ratio = 0.855, v_0 = 7
len =  23, t_par =     889.07, t_ser =     766.14, ratio = 0.862, v_0 = 8
len =  23, t_par =     798.06, t_ser =     687.32, ratio = 0.861, v_0 = 9
len =  23, t_par =     702.35, t_ser =     599.45, ratio = 0.853, v_0 = 10
len =  23, t_par =     658.08, t_ser =     557.67, ratio = 0.847, v_0 = 11
len =  23, t_par =     701.99, t_ser =     598.35, ratio = 0.852, v_0 = 12
-------------------------------------------------
len =  25, t_par =    1296.05, t_ser =    1073.79, ratio = 0.829, v_0 = 0
len =  25, t_par =    1295.67, t_ser =    1073.68, ratio = 0.829, v_0 = 1
len =  25, t_par =    1291.63, t_ser =    1070.61, ratio = 0.829, v_0 = 2
len =  25, t_par =    1285.17, t_ser =    1065.02, ratio = 0.829, v_0 = 3
len =  25, t_par =    1273.09, t_ser =    1057.50, ratio = 0.831, v_0 = 4
len =  25, t_par =    1256.59, t_ser =    1047.99, ratio = 0.834, v_0 = 5
len =  25, t_par =    1231.70, t_ser =    1034.73, ratio = 0.840, v_0 = 6
len =  25, t_par =    1196.27, t_ser =    1013.82, ratio = 0.847, v_0 = 7
len =  25, t_par =    1144.49, t_ser =     979.48, ratio = 0.856, v_0 = 8
len =  25, t_par =    1066.15, t_ser =     919.36, ratio = 0.862, v_0 = 9
len =  25, t_par =     959.08, t_ser =     824.25, ratio = 0.859, v_0 = 10
len =  25, t_par =     849.11, t_ser =     722.83, ratio = 0.851, v_0 = 11
len =  25, t_par =     799.17, t_ser =     674.96, ratio = 0.845, v_0 = 12
len =  25, t_par =     848.50, t_ser =     722.24, ratio = 0.851, v_0 = 13
-------------------------------------------------
len =  28, t_par =    1696.80, t_ser =    1403.67, ratio = 0.827, v_0 = 0
len =  28, t_par =    1696.89, t_ser =    1402.84, ratio = 0.827, v_0 = 1
len =  28, t_par =    1693.75, t_ser =    1400.00, ratio = 0.827, v_0 = 2
len =  28, t_par =    1685.76, t_ser =    1394.54, ratio = 0.827, v_0 = 3
len =  28, t_par =    1674.79, t_ser =    1387.53, ratio = 0.828, v_0 = 4
len =  28, t_par =    1659.20, t_ser =    1378.93, ratio = 0.831, v_0 = 5
len =  28, t_par =    1637.44, t_ser =    1365.43, ratio = 0.834, v_0 = 6
len =  28, t_par =    1606.62, t_ser =    1351.02, ratio = 0.841, v_0 = 7
len =  28, t_par =    1564.84, t_ser =    1326.40, ratio = 0.848, v_0 = 8
len =  28, t_par =    1506.45, t_ser =    1289.94, ratio = 0.856, v_0 = 9
len =  28, t_par =    1420.25, t_ser =    1223.65, ratio = 0.862, v_0 = 10
len =  28, t_par =    1300.61, t_ser =    1119.81, ratio = 0.861, v_0 = 11
len =  28, t_par =    1158.83, t_ser =     990.24, ratio = 0.855, v_0 = 12
len =  28, t_par =    1055.69, t_ser =     892.07, ratio = 0.845, v_0 = 13
len =  28, t_par =    1056.46, t_ser =     893.72, ratio = 0.846, v_0 = 14
-------------------------------------------------
len =  31, t_par =    2157.85, t_ser =    1784.42, ratio = 0.827, v_0 = 0
len =  31, t_par =    2158.58, t_ser =    1783.02, ratio = 0.826, v_0 = 1
